beername,review
Goose Island Bourbon County Stout,"Fat på Barski Helsingborg. Svart öl med beiget skum. Mycket trevlig öl med fina toner av choklad, rostad malt, kaffe, trä, vanilj och bourbon. Torr sammetslen avslutning, en riktig höjdare."
Goose Island Bourbon County Stout,2022 bottle tried on Christmas night 2023. Black with no head. Powerful with strong yet delicate flavours dominating. Drink slowly would be my advice as this is a potent powerful beer. Expected a great beer what I got…
Goose Island Bourbon County Stout,"Appearances are opaque brownish black liquid with a very fine ring of bubbles around the edge. Aromas are roast, dark malt, oatmeal, cocoa and a hint of molasses. Flavors are similar to nose, bittersweet, molasses…"
Goose Island Bourbon County Stout,"Pint bottle 2020 bottling. Opaque black pour with a small tan head that soon disappears. The aroma is big and bold with cocoa, vanilla, sawdust, and licorice. The taste mirrors the aroma, with lots of dark chocolate,…"
Goose Island Bourbon County Stout,2018 version. Just so smooth. Classic style definer. Just a beautiful neutral full robust beer. Beertemple ams
Goose Island Bourbon County Stout,One pint bottle. Pours a rich dark brown with a big brow head. Smells of bourbon and stone fruit. Creamy sweet Vanilla Coke flavors with warming alcohol well hidden. Good oily mouthfeel and a lingering bite in the finish.…
Goose Island Bourbon County Stout,"Black pour. Thin tan creamy and foamy head.  Molasses, chocolate, with coffee palate. No carbonation.  Delicious, smooth, and rich"
Goose Island Bourbon County Stout,"2019 pour @Kool Keg.

Tulip. Shiny cola, oatmeal head..…"
Goose Island Bourbon County Stout,2017 Super bowl sipper! (#57)...this pours just about straight black. Just a hint of light brown along the rim with light. Before I really get a chance to breathe it in I sip. Ridiculously creamy...wow. For all my senses Im getting…
Goose Island Bourbon County Stout,"2020 version, 14.6%. Pours pitch black with beige head, little carbonation. Wonderful complex nose on all the things I will mention in the palate. Palate: creamy, oily, dark chocolate, roasted malts, coffee, licorice,…"
Goose Island Bourbon County Stout,"26Dec2022 Sweet, dark roast malts, oak, intense bourbon, molasses. Hazy, very dark brown, small, creamy, beige head. Light bitter. Bittersweet dark roast malts, cacao, chocolate, sweet oak, bourbon, soft carb, full bod.…"
Goose Island Bourbon County Stout,"This 2022 ""brand"" version of the famous GI Bourbon County stout has a different ABV (13.8) from the standard version (14.6) and the 30th anniversary reserve version (14.4). The bottle label encourages aging a fe…"
Goose Island Bourbon County Stout,"Sweet,  spicy, molasses in the flavor and aroma. Coffee and roast overtones.  Mouthy,  viscous. Good embossed pint bottle."
Goose Island Bourbon County Stout,"Botella de 50 cl. Edition 2019. ABV 15.2 %. Color negro con ligera carbonatación y escasa espuma. Aroma a bourbon, toffe, cafe, ciruelas, vainilla, chocolate, madera. Sabor a café, chocolate, toffe, vainilla, bourbo…"
Goose Island Bourbon County Stout,"Pitch black with foamy light brown head which disappears quickly. Intense aroma of oak, licorice, and roast. Taste is explosion of flavors: roasted malts, hint of vanilla, lots of oak, licorice, dark chocolate with lingering…"
Goose Island Bourbon County Stout,"Аромат хороший и сильный, много бочки, дерево, кофе и шоколад, как будто нотка от дымка, легкая сладость от бурбона. Цвет черный, даже угольный, пенка небольшая кофейная. Вкус весьма сбалансированны…"
Goose Island Bourbon County Stout,Very dark/black beer that has strong notes of bourbon along with a slight vanilla smell.  Taste is a strong bourbon with a vanilla/raisin progression.
Goose Island Bourbon County Stout,"Brown bottle, 500 ml, 2021 vintage, best before 22 JUL 26, bought on 27 November 2021, savoured on 7 December 2021; eye: black, opaque, no effervescence, thin sheet of brown head that turns into a small ring, no…"
Goose Island Bourbon County Stout,"Pours deep coffee with a good tan head. Aroma offers rich roast malt, bourbon, chocolate, coffee, vanilla, woody and dark fruit hints. Flavor presents all of the above, only more dark fruit and wood. Texture adds…"
Goose Island Bourbon County Stout,Fles geprobeerd met Keukeman en Benzai op een tasting bij Addictee2craftBeer. Het is een diep donkerbruin tot zwart bier met weinig tot geen schuim. Het aroma van gebrande mout en chocolade. De smaak…
Goose Island Bourbon County Stout,"Bottle shared with friends. Dark brown, almost black, good coffee foam. Aroma: sweet, lots of vanilla, bourbon, slightly smoky, iodine, caramel, dried fruits, prunes, chocolate, powerful, dill, poppy seed cake. Sweet taste,…"
Goose Island Bourbon County Stout,"LCI. Uit de fles geschonken. Better than last year, loads of raisins and other dried fruit, full bodied, thick texture. A very good ba imp stout…. again!
Earlier Rating: 2/20/2016 Total Score: 5…"
Goose Island Bourbon County Stout,"6oz glass at the brewery, Chicago, IL. Aroma is interesting and I cannot quite put my finger on it. I'm getting coconut and whisky. It is deep jet black and very thick and sticky looking. But then, wow, the taste. That is an…"
Goose Island Bourbon County Stout,"This year’s (2022) is Classic Cola, and it is amazing! The ultimate twist on a whiskey cola; adding lime and orange juice, plus coriander, cassia bark, nutmeg, brown sugar, and vanilla."
Goose Island Bourbon County Stout,"(Bottle, 2021 vintage, 14.0% abv, tasted 11/28/2022) Black body with a small brown head. Luscious aroma of bourbon, vanilla, dark chocolate, molasses, light coffee. Full bodied; velvety, creamy mouthfeel; active…"
Goose Island Bourbon County Stout,"Last bottle of my Easter holidays... and I picked a perfect one. Years after year Bourbon County is just a perfect stout, way better than their gimmicky versions. This is the real one, this is the perfect one!…"
Goose Island Bourbon County Stout,"Draft at Abel Brown in Augusta Ga. Notes of chocolate, vanilla, molasses, subtle coffee, subtle roast malt.  Medium heavy body. Creamy texture.  Very smooth tasting.  Alcohol is a bit hidden.  Well done."
Goose Island Bourbon County Stout,"Pours an opaque midnight brown with a thin but retentive tan head. Aroma is vanilla beans, chocolate, and booze. Taste is sweet (verging on cloying) dark malt, vanilla, chocolate, bourbon whiskey, and prunes. Superb.…"
Goose Island Bourbon County Stout,"500 ml. bottle, bb 28 Jul 26. 14.0% abv. Stout appearance and an enduring film of creamy bubbles. Nose has Baby Ruth candy bar, whiskey, vanilla and oak. Tastes of the same plus a touch of maple syrup. Heavy mouthfeel…"
Goose Island Bourbon County Stout,"Nose tea like smell. Slightly sour taste, yummy and flavorful. Sweet and slightly sour. Somewhat like coke.…"
Goose Island Bourbon County Stout,Bottle. Poured black color with an average frothy tan head that mostly lasted with good lacing. Moderate to heavy barrel aged toasted dark malt and vanilla aroma. Medium to abundant body with a smooth texture and…
Goose Island Bourbon County Stout,"2021 vintage. 500 ml bottle. Pours black with little head. Aromas of dark caramel, soft bourbon, chocolate nougat, vanilla, and slick roasted malts. Rich flavors follow same with lots of chocolate nougat and nice warming…"
Goose Island Bourbon County Stout,"Goose Island Bourbon County Brand Stout (2021) 14.4%. Black, complex aromas of dark chocolate, toffee, dried fruit, oaky, full bodied, dark roasted malt, bitter dark chocolate, caramel, dried fruit, bourbon, burnt sugar,…"
Goose Island Bourbon County Stout,"Goose Island - Bourbon County Brand Stout (2021) 14,4%   Styl: Imparial Stout  Alkohol: 14,4% obj.  ??Our rich imperial stout is blended from a mix of bourbon barrels from distilleries such as Heaven Hill, Wild Turkey, and…"
Goose Island Bourbon County Stout,"bottle 2017.  I was lucky enough to receive this as a gift and able to let it age until now.  Poured dark opaque brown with a thin creamy tan head. Aroma of sweet dried fruit and vanilla, reminiscent of a fortified wine,  I…"
Goose Island Bourbon County Stout,"I poured it from the bottle into a tulip glass.  It pours black with a tan head.  The aroma is chocolate, coffee, wood, and alcohol.  The taste is chocolate, coffee, smoke, wood, burnt sugar, and vanilla.  This is an excellent sipping…"
Goose Island Bourbon County Stout,"Pours almost black. Good sized medium brown head. Aroma is espresso, chocolate,  raisins, figs, pecans. Taste is soft slightly bitter chocolate, lots of dried dark fruit, burnt coffee. Maybe some burnt candy. Nice creamy…"
Goose Island Bourbon County Stout,"Pours black with a small tan head. Very complex so I’m going to add the description from the bottle. “Notes of vanilla, toffee, chocolate, burnt sugar and dried fruit.”  14% and is still smooth and tastes wonderful."
Goose Island Bourbon County Stout,"Black color; fantastic bourbon aroma; Amazing bourbon notes in the flavor along with rich caramel, bitter choclate, roasted malt, and vanilla with nice oak notes that com ethrough in a dry finsh that leaves a lingering warmth…"
Goose Island Bourbon County Stout,"Great flavors, yet not worth $27 per bottle. I would choose North Coast old Rasputin at $3."
Goose Island Bourbon County Stout,"Caramel, coffee, overcarbonated, liquor. Missing something to be a renowned banger. 4.1"
Goose Island Bourbon County Stout,"W aromacie czekolada, prażony karmel, sos sojowy. W smaku półgęste, mleczna czekolada, alkholowe. Aromat genialny, brakuje trochę wyleżakowania."
Goose Island Bourbon County Stout,"Na krakowskim Beerweek Festival 06, w 2021 roku, 100 ml przelane z butelki dwoma kielonkami. Hm no potężny stout, pity już na dość zrobieniu. Bardzo mocny, słodki ale nie lepki, w sumie to już wykracza poza kategori…"
Goose Island Bourbon County Stout,"Szanuję legendę, w swojej kategorii trunek wzorowy, rozgrzewający, przyjemnie bourbonowy, ale ja już nie mogie takich mocnych. Tylko na setki daję radę."
Goose Island Bourbon County Stout,"Mjuk, mörk sirap hint av kaffe. Lagrad i källare sen 2012. Ingen hint av den höga avb n förutom i huvudet 😉"
Goose Island Bourbon County Stout,"Strong malty boozy aroma of cocoa, prune, raisin, vanilla, wood, bourbon, and caramel
Pours pitch black with small creamy head, looks thick.…"
Goose Island Bourbon County Stout,"Wat valt hier nog over te zeggen, dat het een fantastisch bier is, dat is het niet, het is qualitatief wel oké ,  maar veel te veel drop en leer, en is zwaar overgehyped, net als bij Westvleteren. Het is veel te duur en de cultus…"
Goose Island Bourbon County Stout,"(2018 bottle shared @ Erik's tasting, Stockholm, July 13/19) Pours pitch black with a small pale brown head. Notes of deep caramel and and toffee malts soaked in chocolate and quite some bourbon, with fairly prominent…"
Goose Island Bourbon County Stout,"Good color, smell, and taste. It is thick and feels like you can almost chew it. Not easy to locate but after trying in I can see why it goes quick when you can find it."
Goose Island Bourbon County Stout,"2020 millésime, paid 20 euros for it on saveurbiere.com.
Nice imperial stout, lovely Bourbon aromas, chocolate and coffee, but widely overrated and expensive. Should cost 7 boxes"
Goose Island Bourbon County Stout,"To jest moja subiektywna ocena, która nie musi pokrywać się z Twoją oceną. https://www.instagram.com/czgr_"
Goose Island Bourbon County Stout,"Degustada com um charuto Flor De Lá Vega Toro Escuro, na cor um preto muito opaco sem nenhuma transparência, no aroma lebra muito um Bourbon (obiviamente) mas fica muito em destaque o amadeirado,…"
Goose Island Bourbon County Stout,"Bière stout impériale,première fois au Québec, on n’as des notes de chocolat au lait avec un bon mélange de torrification.Les goût est tout simplement onctueux malgré le taux alcool quon ne s’en pas ,"
Goose Island Bourbon County Stout,"Butelka 1 pinta, czyli 0,473 litra.
Barwa intensywnie czarna, z brązowymi refleksami, nieprzejrzysta. Piana beżowa, średniej wysokości, ale bardzo małej trwałości, nie zostawia…"
Goose Island Bourbon County Stout,"2020 release BCS 
I had to give this 5 because it’s easily the best beer I’ve tried. SO delicious and satisfying, it’s quite an adventure to drink. The depth and complexity i…"
Goose Island Bourbon County Stout,"12oz bottle poured into a Tulip glass, Black in appearance, aroma is rich, coffee, chocolaty and sweet. Flavor is rich, roasted, coffee, licorice, sweet, sticky and boozy. Will recommend to friends."
Goose Island Bourbon County Stout,"Un f ing real!
The intense flavors are bouncing all over my mouth.…"
Goose Island Bourbon County Stout,"Taste: rich roasted dark malts, smooth, dark fruit, smoked, bourbon notes, woody oak, boozy. Same with the spicy nose. Black, opaque, with delicate head and lace film from barrel aged ale like this. Full body. I had this in…"
Goose Island Bourbon County Stout,"Quasi totalmente scura con testa color nocciola dalla texture irregolare e dalla veloce evanescenza. Profumo molto intenso ed elegante di cioccolato, toffee, vaniglia, frutta a guscio e frutta sotto spirito, legno e…"
Goose Island Bourbon County Stout,"DATE: November 3, 2020... OCCASION: four years of the last presidency led to a beer I have cellared for almost as long... GLASSWARE: Duvel tulip... pours a jet-black body with a quarter-inch ochre-tinted swirl that roils…"
Goose Island Bourbon County Stout,"Bottle of the 2019 iteration poured into a snifter. Black with a quick, fizzy brown head. Aroma is bourbon, wood, dark and milk chocolate, and a hint of roast. Initial taste is exactly what is in the aroma with more of an…"
Goose Island Bourbon County Stout,Bottle. Black with slightly tan head. Big boozy powerful nose. Incredibly smooth. Rich and complex and huge. Excellent.
