"","beername","score","reviews","link"
"5","Goose Island Bourbon County Stout","100","2977","https://www.ratebeer.com/beer/goose-island-bourbon-county-stout/8909/"
"6","Goose Island Goose IPA","84.35","2817","https://www.ratebeer.com/beer/goose-island-goose-ipa/814/"
"7","Goose Island Honkers Ale","46.25","2126","https://www.ratebeer.com/beer/goose-island-honkers-ale/811/"
"8","Goose Island Matilda","91.99","1949","https://www.ratebeer.com/beer/goose-island-matilda/23624/"
"9","Goose Island 312 Urban Wheat Ale","17.67","1802","https://www.ratebeer.com/beer/goose-island-312-urban-wheat-ale/30913/"
"10","Goose Island Sofie","95.85","1465","https://www.ratebeer.com/beer/goose-island-sofie/101468/"
"11","Goose Island Pere Jacques  R","93.97","1331","https://www.ratebeer.com/beer/goose-island-pere-jacques/24619/"
"12","Goose Island Bourbon County Stout - Coffee  R","100","1009","https://www.ratebeer.com/beer/goose-island-bourbon-county-stout-coffee/66358/"
"13","Goose Island Summertime","34.81","913","https://www.ratebeer.com/beer/goose-island-summertime/817/"
"14","Goose Island Christmas Ale","80.97","882","https://www.ratebeer.com/beer/goose-island-christmas-ale/819/"
"15","Half Acre Daisy Cutter","97.15","877","https://www.ratebeer.com/beer/half-acre-daisy-cutter/102472/"
"16","Goose Island Pepe Nero","85.09","794","https://www.ratebeer.com/beer/goose-island-pepe-nero/118938/"
"17","Goose Island Nut Brown Ale","78.26","787","https://www.ratebeer.com/beer/goose-island-nut-brown-ale/813/"
"18","Two Brothers Domaine DuPage","52.94","782","https://www.ratebeer.com/beer/two-brothers-domaine-dupage/13031/"
"19","Goose Island Night Stalker","99.68","775","https://www.ratebeer.com/beer/goose-island-night-stalker/100356/"
"20","Goose Island Oatmeal Stout","85","762","https://www.ratebeer.com/beer/goose-island-oatmeal-stout/815/"
"21","Goose Island Bourbon County Barleywine  R","99.89","755","https://www.ratebeer.com/beer/goose-island-bourbon-county-barleywine/232029/"
"22","Two Brothers Cane and Ebel","93.33","741","https://www.ratebeer.com/beer/two-brothers-cane-and-ebel/59141/"
"23","Pipeworks Ninja Vs Unicorn Double IPA","99.21","703","https://www.ratebeer.com/beer/pipeworks-ninja-vs-unicorn-double-ipa/165816/"
"24","Revolution Anti-Hero IPA","93.91","678","https://www.ratebeer.com/beer/revolution-anti-hero-ipa/117752/"
"25","Goose Island Lolita","98.24","670","https://www.ratebeer.com/beer/goose-island-lolita/118981/"
"26","Two Brothers Hop Centric","95.73","647","https://www.ratebeer.com/beer/two-brothers-hop-centric/44597/"
"27","Goose Island Imperial IPA  R","99.52","641","https://www.ratebeer.com/beer/goose-island-imperial-ipa/21329/"
"28","Goose Island 1800 Demolition Ale (Strong Golden)","89.96","610","https://www.ratebeer.com/beer/goose-island-1800-demolition-ale-strong-golden/9290/"
"29","Goose Island Bourbon County Stout - Vanilla Bourbon Barrel  R","99.95","594","https://www.ratebeer.com/beer/goose-island-bourbon-county-stout-vanilla-bourbon-barrel/113113/"
"30","Two Brothers Northwind Imperial Stout","75.03","559","https://www.ratebeer.com/beer/two-brothers-northwind-imperial-stout/11185/"
"31","Goose Island Juliet","98.41","544","https://www.ratebeer.com/beer/goose-island-juliet/87374/"
"32","Goose Island Madame Rose","97.59","538","https://www.ratebeer.com/beer/goose-island-madame-rose/100361/"
"33","Goose Island Harvest Ale","79.69","534","https://www.ratebeer.com/beer/goose-island-harvest-ale/76811/"
"34","Goose Island Mild Winter","57.9","519","https://www.ratebeer.com/beer/goose-island-mild-winter/90137/"
