"","beername","review","language"
"2","Goose Island Bourbon County Stout","2022 bottle tried on Christmas night 2023. Black with no head. Powerful with strong yet delicate flavours dominating. Drink slowly would be my advice as this is a potent powerful beer. Expected a great beer what I got","english"
"3","Goose Island Bourbon County Stout","Appearances are opaque brownish black liquid with a very fine ring of bubbles around the edge. Aromas are roast, dark malt, oatmeal, cocoa and a hint of molasses. Flavors are similar to nose, bittersweet, molasses","english"
"4","Goose Island Bourbon County Stout","Pint bottle 2020 bottling. Opaque black pour with a small tan head that soon disappears. The aroma is big and bold with cocoa, vanilla, sawdust, and licorice. The taste mirrors the aroma, with lots of dark chocolate,","english"
"6","Goose Island Bourbon County Stout","One pint bottle. Pours a rich dark brown with a big brow head. Smells of bourbon and stone fruit. Creamy sweet Vanilla Coke flavors with warming alcohol well hidden. Good oily mouthfeel and a lingering bite in the finish.","english"
"7","Goose Island Bourbon County Stout","Black pour. Thin tan creamy and foamy head.  Molasses, chocolate, with coffee palate. No carbonation.  Delicious, smooth, and rich","english"
"8","Goose Island Bourbon County Stout","2019 pour @Kool Keg.

Tulip. Shiny cola, oatmeal head..","english"
"9","Goose Island Bourbon County Stout","2017 Super bowl sipper! (#57)...this pours just about straight black. Just a hint of light brown along the rim with light. Before I really get a chance to breathe it in I sip. Ridiculously creamy...wow. For all my senses Im getting","english"
"10","Goose Island Bourbon County Stout","2020 version, 14.6%. Pours pitch black with beige head, little carbonation. Wonderful complex nose on all the things I will mention in the palate. Palate: creamy, oily, dark chocolate, roasted malts, coffee, licorice,","english"
"12","Goose Island Bourbon County Stout","This 2022 ""brand"" version of the famous GI Bourbon County stout has a different ABV (13.8) from the standard version (14.6) and the 30th anniversary reserve version (14.4). The bottle label encourages aging a fe","english"
"13","Goose Island Bourbon County Stout","Sweet,  spicy, molasses in the flavor and aroma. Coffee and roast overtones.  Mouthy,  viscous. Good embossed pint bottle.","english"
"15","Goose Island Bourbon County Stout","Pitch black with foamy light brown head which disappears quickly. Intense aroma of oak, licorice, and roast. Taste is explosion of flavors: roasted malts, hint of vanilla, lots of oak, licorice, dark chocolate with lingering","english"
"17","Goose Island Bourbon County Stout","Very dark/black beer that has strong notes of bourbon along with a slight vanilla smell.  Taste is a strong bourbon with a vanilla/raisin progression.","english"
"18","Goose Island Bourbon County Stout","Brown bottle, 500 ml, 2021 vintage, best before 22 JUL 26, bought on 27 November 2021, savoured on 7 December 2021; eye: black, opaque, no effervescence, thin sheet of brown head that turns into a small ring, no","english"
